manager,player_id,player_roster
,665487,"Tatis Jr., Fernando"
Russ,680718,"Barger, Addison"
Dom,657656,"Laureano, Ramón"
,666160,"Moniak, Mickey"
Justin,519317,"Stanton, Giancarlo"
,621020,"Swanson, Dansby"
JT,694192,"Chourio, Jackson"
,647304,"Naylor, Josh"
Tyler,663656,"Tucker, Kyle"
,662139,"Varsho, Daulton"
Dylan,677951,"Witt Jr., Bobby"
,677800,"Abreu, Wilyer"
Jake,605137,"Bell, Josh"
,682829,"De La Cruz, Elly"
Mikey,694671,"Langford, Wyatt"
,571970,"Muncy, Max"
Russ,672820,"Sosa, Lenyn"
Dom,670242,"Wallner, Matt"
,660670,"Acuña Jr., Ronald"
Justin,671732,"Butler, Lawrence"
,656305,"Chapman, Matt"
JT,641857,"McMahon, Ryan"
,695657,"Montgomery, Colson"
Tyler,542303,"Ozuna, Marcell"
,671218,"Ramos, Heliot"
Dylan,682663,"Ramírez, Agustín"
,608369,"Seager, Corey"
Jake,668715,"Steer, Spencer"
,669224,"Wells, Austin"
Mikey,643217,"Benintendi, Andrew"
,605141,"Betts, Mookie"
Russ,575929,"Contreras, Willson"
Dom,665833,"Cruz, Oneil"
,673237,"Diaz, Yainer"
Justin,671739,"Harris II, Michael"
,672386,"Kirk, Alejandro"
JT,670623,"Paredes, Isaac"
,672695,"Perdomo, Geraldo"
Tyler,683011,"Volpe, Anthony"
,682928,"Abrams, CJ"
Dylan,686948,"Baldwin, Drake"
,666182,"Bichette, Bo"
Jake,665019,"Clemens, Kody"
,661388,"Contreras, William"
Mikey,666969,"García, Adolis"
,666971,"Gurriel Jr., Lourdes"
Russ,671056,"Herrera, Iván"
Dom,681351,"O'Hoppe, Logan"
,657757,"Sheets, Gavin"
Justin,669257,"Smith, Will"
,668930,"Turang, Brice"
JT,683146,"Baty, Brett"
,608324,"Bregman, Alex"
Tyler,676475,"Burleson, Alec"
,608348,"Kelly, Carson"
Dylan,596146,"Kepler, Max"
,663993,"Lowe, Nathaniel"
Jake,664056,"Bader, Harrison"
,592206,"Castellanos, Nick"
Mikey,683002,"Henderson, Gunnar"
,702616,"Holliday, Jackson"
Russ,663616,"Larnach, Trevor"
Dom,701538,"Merrill, Jackson"
,656775,"Mullins, Cedric"
Justin,656811,"O'Hearn, Ryan"
,665161,"Peña, Jeremy"
JT,642133,"Tellez, Rowdy"
,650402,"Torres, Gleyber"
Tyler,668901,"Vientos, Mark"
,676059,"Westburg, Jordan"
Dylan,573262,"Yastrzemski, Mike"
,645277,"Albies, Ozzie"
Jake,687597,"Beck, Jordan"
,669394,"Burger, Jake"
Mikey,681297,"Cowser, Colton"
,680776,"Duran, Jarren"
Russ,527038,"Flores, Wilmer"
Dom,672580,"Garcia, Maikel"
,671277,"García Jr., Luis"
Justin,686797,"Lee, Brooks"
,669221,"Murphy, Sean"
JT,678882,"Rafaela, Ceddanne"
,668804,"Reynolds, Bryan"
Tyler,663586,"Riley, Austin"
,678246,"Vargas, Miguel"
Dylan,683734,"Vaughn, Andrew"
,686668,"Doyle, Brenton"
Jake,669242,"Edman, Tommy"
,669720,"Hays, Austin"
Mikey,672640,"Lopez, Otto"
,680574,"McLain, Matt"
Russ,665966,"Narváez, Carlos"
Dom,666310,"Naylor, Bo"
,543760,"Semien, Marcus"
Justin,607208,"Turner, Trea"
,666018,"Aranda, Jonathan"
JT,668709,"Bleday, JJ"
,693307,"Dingler, Dillon"
Tyler,670770,"Friedl, TJ"
,669357,"Gorman, Nolan"
Dylan,643376,"Jansen, Danny"
,673962,"Jung, Josh"
Jake,682622,"Marte, Noelvi"
,595777,"Profar, Jurickson"
Mikey,673357,"Robert Jr., Luis"
,660821,"Sánchez, Jesús"
Russ,595879,"Báez, Javier"
Dom,621043,"Correa, Carlos"
,641487,"Crawford, J.P."
Justin,690993,"Keith, Colt"
,668904,"Lewis, Royce"
JT,457705,"McCutchen, Andrew"
,663457,"Nootbaar, Lars"
Tyler,672761,"Pérez, Wenceel"
,592663,"Realmuto, J.T."
Dylan,807713,"Shaw, Matt"
,663886,"Stephenson, Tyler"
Jake,681082,"Stott, Bryson"
,805779,"Wilson, Jacob"
Mikey,571448,"Arenado, Nolan"
,666181,"Benson, Will"
Russ,605170,"Caratini, Victor"
Dom,624424,"Conforto, Michael"
,686217,"Frelick, Sal"
Justin,656555,"Hoskins, Rhys"
,664770,"Lukes, Nathan"
JT,656716,"McKinstry, Zach"
,643446,"McNeil, Jeff"
Tyler,660162,"Moncada, Yoán"
,694384,"Schanuel, Nolan"
Dylan,669477,"Schmitt, Casey"
,682177,"Schneemann, Daniel"
Jake,676914,"Schneider, Davis"
,624585,"Soler, Jorge"
Mikey,682626,"Alvarez, Francisco"
,672356,"Arias, Gabriel"
Russ,681460,"Baldwin, Brooks"
,593428,"Bogaerts, Xander"
,664761,"Bohm, Alec"
,686527,"Canzone, Dominic"
,650489,"Castro, Willi"
,630105,"Cronenworth, Jake"
,702332,"Durbin, Caleb"
,641680,"Heim, Jonah"
,571771,"Hernández, Enrique"
,543309,"Higashioka, Kyle"
,687462,"Horwitz, Spencer"
,680757,"Kwan, Steven"
,666139,"Lowe, Josh"
,669016,"Marsh, Brandon"
,682657,"Martínez, Angel"
,691723,"Mayo, Coby"
,664238,"Moore, Dylan"
,666624,"Morel, Christopher"
,686780,"Pagés, Pedro"
,467793,"Santana, Carlos"
,624641,"Sosa, Edmundo"
,669911,"Toglia, Michael"
,602104,"Urías, Ramón"
,609280,"Andujar, Miguel"
,676391,"Clement, Ernie"
,686611,"Crews, Dylan"
,691176,"Domínguez, Jasson"
,680977,"Donovan, Brendan"
,502671,"Goldschmidt, Paul"
,681715,"Hernández, Heriberto"
,502054,"Pham, Tommy"
,669701,"Smith, Josh"
,642201,"White, Eli"
,686555,"Collins, Isaac"
,553869,"Díaz, Elias"
,641598,"Garver, Mitch"
,665926,"Giménez, Andrés"
,663853,"Gonzalez, Romy"
,545341,"Grichuk, Randal"
,663697,"India, Jonathan"
,680777,"Jeffers, Ryan"
,695734,"Lile, Daylen"
,516782,"Marte, Starling"
,624512,"McGuire, Reese"
,672515,"Moreno, Gabriel"
,691777,"Muncy, Max"
,641933,"O'Neill, Tyler"
,592626,"Pederson, Joc"
,608701,"Refsnyder, Rob"
,650859,"Rengifo, Luis"
,668939,"Rutschman, Adley"
,701358,"Smith, Cam"
,643565,"Tauchman, Mike"
,572191,"Taylor, Michael A."
,677950,"Thomas, Alek"
,678662,"Tovar, Ezequiel"
,676572,"Wagaman, Eric"
,691026,"Winn, Masyn"
,656180,"Adams, Riley"
,701350,"Anthony, Roman"
,650333,"Arraez, Luis"
,641343,"Bauers, Jake"
,571657,"Farmer, Kyle"
,681807,"Fry, David"
,663538,"Hoerner, Nico"
,805249,"Kemp, Otto"
,808982,"Lee, Jung Hoo"
,682641,"Matos, Luis"
,681393,"Norby, Connor"
,500743,"Rojas, Miguel"
,656976,"Smith, Pavin"
,691019,"Teel, Kyle"
,649966,"Urías, Luis"
,677942,"Alexander, Blaze"
,695506,"Caglianone, Jac"
,680779,"Davis, Henry"
,643289,"Dubón, Mauricio"
,664034,"France, Ty"
,624428,"Frazier, Adam"
,663330,"Jones, Jahmai"
,670223,"Mervis, Matt"
,695681,"Moore, Christian"
,663624,"Mountcastle, Ryan"
,687401,"Ortiz, Joey"
,694374,"Tawa, Tim"
,647351,"Toro, Abraham"
,669707,"Triolo, Jared"
,670541,"Alvarez, Yordan"
,672275,"Bailey, Patrick"
,692225,"Campbell, Kristian"
,672744,"Canario, Alexander"
,666185,"Carlson, Dylan"
,657557,"DeJong, Paul"
,687952,"Encarnacion-Strand, Christian"
,641584,"Fraley, Jake"
,666152,"Hamilton, David"
,689414,"Hicks, Liam"
,677595,"Mauricio, Ronny"
,667472,"Myers, Dane"
,678877,"Noel, Jhonkensy"
,681546,"Outman, James"
,677347,"Paris, Kyren"
,677587,"Rocchio, Brayan"
,642708,"Rosario, Amed"
,691594,"Sanoja, Javier"
,623993,"Santander, Anthony"
,700242,"Sweeney, Trey"
,687515,"Thomas, Colby"
,691023,"Walker, Jordan"
,642851,"Wynns, Austin"
,518595,"d'Arnaud, Travis"
,676609,"Caballero, José"
,669743,"Call, Alex"
,694497,"Carter, Evan"
,688760,"Crim, Blaine"
,666023,"Fermin, Freddy"
,663743,"Fortes, Nick"
,693304,"Gonzales, Nick"
,663647,"Hayes, Ke'Bryan"
,595978,"Hedges, Austin"
,680737,"Helman, Michael"
,656577,"Jackson, Alex"
,669236,"Jackson, Jeremiah"
,666134,"Jones, Nolan"
,673490,"Kim, Ha-Seong"
,666158,"Lux, Gavin"
,805300,"Marsee, Jakob"
,543510,"McCann, James"
,805367,"Meidroth, Chase"
,670224,"Misner, Kameron"
,672724,"Peraza, Oswald"
,650968,"Pozo, Yohel"
,700337,"Quero, Edgar"
,687363,"Scott II, Victor"
,596103,"Slater, Austin"
,642086,"Smith, Dominic"
,701398,"Stewart, Sal"
,596142,"Sánchez, Gary"
,620443,"Torrens, Luis"
,700246,"Williams, Carson"
,642215,"Wilson, Weston"
,665804,"Amaya, Miguel"
,663698,"Bart, Joey"
,694212,"Basallo, Samuel"
,687637,"Beavers, Dylan"
,682653,"Bernabel, Warming"
,805904,"Cole, Zach"
,666126,"Cortes, Carlos"
,680728,"Del Castillo, Adrian"
,671284,"Elko, Tim"
,692585,"Fernández, Yanquiel"
,680837,"Fitzgerald, Ryan"
,666149,"Fitzgerald, Tyler"
,691781,"House, Brady"
,628451,"Ibáñez, Andy"
,664728,"Isbel, Kyle"
,687859,"Johnston, Troy"
,692216,"Kayfus, CJ"
,807712,"Keaschall, Luke"
,677008,"Kjerstad, Heston"
,679845,"Loftin, Nick"
,694388,"Loperfido, Joey"
,683090,"Lugo, Matthew"
,455117,"Maldonado, Martín"
,694728,"Matthews, Brice"
,691785,"Mayer, Marcelo"
,664983,"McCarthy, Jake"
,678009,"Meadows, Parker"
,655316,"Monasterio, Andruw"
,683083,"Nuñez, Nasim"
,688363,"Pauley, Graham"
,678894,"Peguero, Liover"
,670042,"Raley, Luke"
,670231,"Rave, John"
,687221,"Rushing, Dalton"
,664702,"Straw, Myles"
,657041,"Thomas, Lane"
,624431,"Trevino, Jose"
,670764,"Walls, Taylor"
,807799,"Yoshida, Masataka"
,702284,"Young, Cole"
,676724,"Young, Jared"
,691185,"Acosta, Maximo"
,606115,"Arcia, Orlando"
,672569,"Campero, Gustavo"
,671213,"Casas, Triston"
,672016,"Clarke, Denzel"
,669364,"Edwards, Xavier"
,642731,"Estrada, Thairo"
,683227,"Freeman, Cody"
,687551,"Gilbert, Drew"
,656484,"Gray, Tristan"
,690987,"Hassell III, Robert"
,623168,"Heineman, Tyler"
,656537,"Hill, Derek"
,669450,"Hummel, Cooper"
,578428,"Iglesias, Jose"
,695600,"Jensen, Carter"
,666397,"Julien, Edouard"
,808975,"Kim, Hyeseong"
,683766,"Koss, Christian"
,682988,"Locklear, Tyler"
,680862,"MacIver, Willie"
,663968,"Mangum, Jake"
,686681,"Massey, Michael"
,678554,"Mead, Curtis"
,676694,"Meyers, Jake"
,641943,"Palacios, Joshua"
,663368,"Perkins, Blake"
,668670,"Rogers, Jake"
,456781,"Solano, Donovan"
,669261,"Suwinski, Jack"
,665750,"Taveras, Leody"
,666211,"Trammell, Taylor"
,457759,"Turner, Justin"
,671655,"Valera, George"
,545121,"Vargas, Ildemaro"
,543877,"Vázquez, Christian"
,686894,"Wiemer, Joey"
,805373,"Alvarez Jr., Nacho"
,694208,"Ballesteros, Moisés"
,600869,"Candelario, Jeimer"
,682729,"Clase, Jonatan"
,665052,"Conine, Griffin"
,701305,"Dezenzo, Zach"
,666464,"Encarnacion, Jerar"
,641555,"Escarra, J.C."
,690976,"Freeland, Alex"
,671289,"Freeman, Tyler"
,681508,"Gasper, Mickey"
,680869,"Gelof, Zack"
,685301,"Gorski, Matt"
,694203,"Guzman, Denzer"
,606992,"Haase, Eric"
,664059,"Haggerty, Sam"
,687231,"Hernaiz, Darell"
,645444,"Herrera, Jose"
,518792,"Heyward, Jason"
,656541,"Hilliard, Sam"
,677956,"Hinds, Rece"
,669087,"Huff, Sam"
,680577,"Keirsey Jr., DaShawn"
,672284,"Kelenic, Jarred"
,643396,"Kiner-Falefa, Isiah"
,518934,"LeMahieu, DJ"
,665561,"Marchán, Rafael"
,665155,"Maton, Nick"
,621028,"Newman, Kevin"
,696030,"Osuna, Alejandro"
,677592,"Pereira, Everson"
,660844,"Rivas, Leo"
,702176,"Roden, Alan"
,663898,"Rodgers, Brendan"
,671286,"Rodríguez, Johnathan"
,668942,"Rojas, Josh"
,660688,"Ruiz, Keibert"
,695336,"Saggese, Thomas"
,680474,"Schuemann, Max"
,670097,"Short, Zack"
,621035,"Taylor, Chris"
,621438,"Taylor, Tyrone"
,665839,"Valdez, Enmanuel"
,664774,"Wade Jr., LaMonte"
,696285,"Young, Jacob"
,691182,"Amador, Adael"
,676480,"Barrero, José"
,678489,"Barrosa, Jorge"
,624415,"Biggio, Cavan"
,669208,"Bliss, Ryan"
,656248,"Bouchard, Sean"
,670092,"Brooks, Trenton"
,664913,"Brown, Seth"
,665828,"Cabrera, Oswaldo"
,683357,"Caissie, Owen"
,663662,"Cameron, Daz"
,592192,"Canha, Mark"
,681962,"Capra, Vinny"
,665953,"Chaparro, Andrés"
,701675,"Church, Nathan"
,699625,"Crooks, Jimmy"
,669722,"Davidson, Logan"
,694362,"Dunn, Blake"
,681987,"Eaton, Nate"
,665877,"Fermín, José"
,666150,"Fletcher, Dominic"
,690924,"Fulford, Braxton"
,687957,"Harris, Dustin"
,677870,"Jiménez, Leo"
,669369,"Johnson, Bryce"
,669288,"Johnson, Daniel"
,691720,"Karros, Kyle"
,668800,"Knizner, Andrew"
,686676,"Lee, Korey"
,506702,"León, Sandy"
,605353,"Machín, Vimael"
,571912,"Maile, Luke"
,669234,"Malloy, Justyn-Henry"
,668885,"Martin, Austin"
,605361,"Martini, Nick"
,670156,"Mastrobuoni, Miles"
,622761,"Mateo, Jorge"
,676801,"McCormick, Chas"
,669004,"Melendez, MJ"
,683748,"Mesa Jr., Victor"
,669304,"Miranda, Jose"
,640459,"Navarreto, Brian"
,676116,"Noda, Ryan"
,680700,"Palacios, Richie"
,690022,"Ritter, Ryan"
,645302,"Robles, Victor"
,679032,"Rojas, Johan"
,666163,"Rortvedt, Ben"
,665923,"Ruiz, Esteury"
,676044,"Seymour, Bob"
,669326,"Teodosio, Bryce"
,642136,"Thaiss, Matt"
,686475,"Tolbert, Tyler"
,644433,"Tromp, Chadwick"
,691728,"Veen, Zac"
,663837,"Vierling, Matt"
,678391,"Vivas, Jorbit"
,676679,"Vázquez, Luis"
,671221,"Waters, Drew"
,694376,"Whitcomb, Shay"
,810938,"Williamson, Ben"
,608385,"Winker, Jesse"
,689172,"Wisely, Brett"
,694377,"Yorke, Nick"
,682668,"Acuña, Luisangel"
,595751,"Alfaro, Jorge"
,669397,"Allen, Nick"
,678225,"Bae, Ji Hwan"
,663609,"Baker, Luken"
,605131,"Barnes, Austin"
,681146,"Bride, Jonah"
,660644,"Bruján, Vidal"
,592178,"Bryant, Kris"
,676356,"DeLuca, Jonny"
,677649,"Duran, Ezequiel"
,805811,"Eldridge, Bryce"
,669289,"Espinal, Santiago"
,656413,"Fairchild, Stuart"
,676439,"Feduccia, Hunter"
,804668,"Flores Jr., Rafael"
,695670,"Ford, Harry"
,641658,"Hampson, Garrett"
,668974,"Handley, Maverick"
,695391,"Harris, Brett"
,663731,"Kaiser, Connor"
,668952,"Kreidler, Ryan"
,691783,"Lawlar, Jordan"
,663604,"Lockridge, Brandon"
,669200,"McCoy, Mason"
,687529,"McCray, Grant"
,676812,"McCusker, Carson"
,641856,"McKinney, Billy"
,689200,"Melton, Jacob"
,686452,"Millas, Drew"
,669003,"Mitchell, Garrett"
,621512,"Nido, Tomás"
,672359,"Ornelas, Tirso"
,640902,"Pereda, Jhonny"
,607680,"Pillar, Kevin"
,682868,"Ramos, Bryan"
,592669,"Renfroe, Hunter"
,622569,"Reyes, Pablo"
,682848,"Rodríguez, Endy"
,592696,"Rosario, Eddie"
,678011,"Seigler, Anthony"
,663584,"Senger, Hayden"
,642350,"Siri, Jose"
,686765,"Sogard, Nick"
,607732,"Stallings, Jacob"
,664954,"Sullivan, Brett"
,645305,"Sánchez, Ali"
,677588,"Tena, José"
,676701,"Trejo, Alan"
,570482,"Urshela, Gio"
,657077,"Verdugo, Alex"
,681584,"Villar, David"
,642180,"Wade, Tyler"
,695238,"Wagner, Will"
,669717,"Wilson, Will"
,676466,"Winkler, Jack"
,657136,"Wong, Connor"
